Headers,Length,Encode,Relation to head,Gender,Marital status,Education level: general,Education level: technical,Class/grade completed,Year(s ) of education completed after the class/grade recorded,For persons of age 3 to 35 years status of enrolment,"For persons of age 12 to 59 years, whether receiving/received any vocational/technical training",Whether having certificate of disability,Type of disability as per the certificate
Common-ID,34,No,Self,Male,Never Married,Not Literate,No Technical Education,Class 1,First Year,Never Enrolled,Receiving Formal Vocational/technical training,Yes,Single : Mental
Level,2,No,Spouse Of Head,Female,Currently Married,Literate Without Any Schooling,Technical Degree In: Agriculture,Class 2,Second Year,Enrolled in the past academic year and not attending,Received Vocational/technical training Formal,No,Visual
Filler,3,No,Married Child,Transgender,Widowed,"Literate Without Formal Schooling: 
through NFEC",Engineering/technology,Class 3,Third Year,Enrollled in current academic year and not  attending,Other Than Formal : Hereditary,,Hearing
Person serial no.,2,No,Spouse Of Married Child,,Divorce/separated,Through TLC/AEC,Medicine,Class 4,Fouth Year,Currently Attending,Self-learning,,Speech
Relation to head,1,Yes,Unmarried Child,,,Others,Crafts,Class 5,Fifth  Year,,Learning On The Job,,Locomotor
Gender,1,Yes,Grandchild,,,"Literate With Formal Schooling 
below :  Primary",Other Subjects,Class 6,Sixth Year,,Others,,Multiple
Age,3,No,Father/mother/father-in-law/mother- In-law,,,Primary,Technical Diploma or certificate (below graduate level) in : Agriculture,Class 7,Seventh Year,,Did not receive any vocational/technical training,,
Marital status,1,Yes,Brother/sister/brother-in-law/sister-in-law/other relatives,,,Upper Primary/middle,Engineering/technology,Class 8,Eight Year,,,,
Education level: general,2,Yes,Servant/employees/other non-relatives,,,None,Medicine,Class 9,Ninth Year,,,,
Education level: technical,2,Yes,,,,Secondary,Crafts,Class 10,Tenth Year And Above,,,,
Class/grade completed,2,Yes,,,,Higher Secondary,Other Subjects,Class 11,,,,,
Year(s ) of education completed after the class/grade recorded,2,Yes,,,,Diploma/certificate course ( upto secondary ),Technical Diploma or certificate (graduate and above level) in : Agriculture,Class 12,,,,,
For persons of age 3 to 35 years status of enrolment,1,Yes,,,,Diploma /certificate course (higher secondary),Engineering/technology,,,,,,
For persons of age 5 years and above: whether able to operate a computer,1,No,,,,Diploma/certificate course (graduation and above),Medicine,,,,,,
For persons of age 5 years and above: whether able to use internet,1,No,,,,Graduate,Crafts,,,,,,
For persons of age 5 years and above: whether used internet during last 30 days,1,No,,,,Post Graduate and above,Other Subjects,,,,,,
"For persons of age 12 to 59 years, whether receiving/received any vocational/technical training",1,Yes,,,,,,,,,,,
Whether having certificate of disability,1,Yes,,,,,,,,,,,
Type of disability as per the certificate,1,Yes,,,,,,,,,,,
Blank,0,No,,,,,,,,,,,
NSS,3,No,,,,,,,,,,,
NSc,3,No,,,,,,,,,,,
MULT,10,No,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,did not comlete class 1,,,,,
